| # | Dimension | Category | Expected Output | Actual Output | Gap Resolution Recommendation | Previous Status | Current Status |
|---|-----------|----------|----------------|--------------|-------------------------------|----------------|---------------|
1 | Completeness | NP | Output must contain a separate session for each input file if multiple files are provided (INSTRUCTIONS, GOAL, ADDITIONAL_INPUTS). | Only one session is present; only the single input file is converted. | If only one input file is provided, no action required. If multiple, generate a session per file. | NONE | CLOSED |
2 | Completeness | NP | Output must contain a Conversion Log section immediately after the metadata header (ADDITIONAL_INPUTS). | Conversion Log section is present immediately after the metadata header. | None required. | NONE | CLOSED |
3 | Completeness | NP | Output must contain converted Snowflake SQL code after the Conversion Log (ADDITIONAL_INPUTS). | Converted Snowflake SQL code is present after the Conversion Log. | None required. | NONE | CLOSED |
4 | Completeness | NP | All Oracle queries/procedures from the source input must be converted (INSTRUCTIONS, ADDITIONAL_INPUTS). | All Oracle procedures in the input are converted. | None required. | NONE | CLOSED |
5 | Completeness | NP | Output must begin with the metadata header and contain it exactly once (INSTRUCTIONS, ADDITIONAL_INPUTS). | Output begins with the metadata header, present exactly once. | None required. | NONE | CLOSED |
6 | Completeness | NP | Output must contain only executable Snowflake SQL and permitted Snowflake comments (INSTRUCTIONS, ADDITIONAL_INPUTS). | Output contains only executable Snowflake SQL and permitted comments. | None required. | NONE | CLOSED |
7 | Accuracy | NC | Oracle-specific functions (e.g., NVL, TO_CHAR, USER, SYSTIMESTAMP, DBMS_OUTPUT.PUT_LINE, EXTRACT, COMMIT, EXCEPTION, RAISE_APPLICATION_ERROR) must be converted to Snowflake equivalents (INSTRUCTIONS, ADDITIONAL_INPUTS). | All Oracle-specific functions are converted to Snowflake equivalents as per the Conversion Log and code. | None required. | NONE | CLOSED |
8 | Accuracy | NC | Oracle data types (VARCHAR2, NUMBER, TIMESTAMP) must be mapped to Snowflake/JavaScript equivalents (INSTRUCTIONS, ADDITIONAL_INPUTS). | All Oracle data types are mapped to JavaScript/Snowflake equivalents. | None required. | NONE | CLOSED |
9 | Accuracy | NC | Oracle procedure calls must be converted to Snowflake CALL statements (INSTRUCTIONS, ADDITIONAL_INPUTS). | All Oracle procedure calls are converted to Snowflake CALL statements. | None required. | NONE | CLOSED |
10 | Accuracy | NC | Oracle SELECT INTO must be converted to Snowflake result set processing (INSTRUCTIONS, ADDITIONAL_INPUTS). | SELECT INTO is converted to result set processing. | None required. | NONE | CLOSED |
11 | Accuracy | NC | Oracle INSERT INTO must be converted to Snowflake INSERT INTO using snowflake.execute (INSTRUCTIONS, ADDITIONAL_INPUTS). | INSERT INTO is converted to Snowflake INSERT INTO using snowflake.execute. | None required. | NONE | CLOSED |
12 | Accuracy | NC | Oracle EXCEPTION WHEN OTHERS must be converted to JavaScript try-catch (INSTRUCTIONS, ADDITIONAL_INPUTS). | EXCEPTION WHEN OTHERS is converted to try-catch. | None required. | NONE | CLOSED |
13 | Accuracy | NC | No Oracle or SQL Server syntax must remain in the output (INSTRUCTIONS, ADDITIONAL_INPUTS). | No Oracle or SQL Server syntax remains. | None required. | NONE | CLOSED |
14 | Accuracy | NC | Output must not be wrapped in quotes or code blocks (INSTRUCTIONS, ADDITIONAL_INPUTS). | Output is not wrapped in quotes or code blocks. | None required. | NONE | CLOSED |
15 | Efficiency | NO | Metadata header and conversion log must not be repeated (ADDITIONAL_INPUTS). | Metadata header and conversion log are not repeated. | None required. | NONE | CLOSED |
16 | Efficiency | NO | Output must not contain duplicate SQL blocks or redundant comments (ADDITIONAL_INPUTS). | No duplicate SQL blocks or redundant comments are present. | None required. | NONE | CLOSED |
17 | Efficiency | NO | Output must be cleanly formatted and enterprise-ready (ADDITIONAL_INPUTS). | Output is cleanly formatted and enterprise-ready. | None required. | NONE | CLOSED |
